Moeda; DataCotacao; ValorCotacao
PGK; 03-01-2000; 2,389520705
PGK; 04-01-2000; 4,070136189
PGK; 05-01-2000; 7,733428895
PGK; 06-01-2000; 1,690633297
PGK; 07-01-2000; 2,790272534
PGK; 10-01-2000; 1,140097499
PGK; 11-01-2000; 2,456894577
PGK; 12-01-2000; 5,470187426
PGK; 13-01-2000; 1,351756632
PGK; 14-01-2000; 5,50520575
PGK; 17-01-2000; 4,962888181
PGK; 18-01-2000; 1,898251534
PGK; 19-01-2000; 1,979429543
PGK; 20-01-2000; 7,636591315
PGK; 21-01-2000; 2,275518596
PGK; 24-01-2000; 7,58999896
PGK; 25-01-2000; 7,765271246
PGK; 26-01-2000; 7,445814252
PGK; 27-01-2000; 2,097605646
PGK; 28-01-2000; 5,124470234
PGK; 31-01-2000; 4,909660161
PGK; 01-02-2000; 6,519239306
PGK; 02-02-2000; 7,107555091
PGK; 03-02-2000; 6,153948069
PGK; 04-02-2000; 4,393248141
PGK; 07-02-2000; 2,102410913
PGK; 08-02-2000; 5,006233633
PGK; 09-02-2000; 4,263332367
PGK; 10-02-2000; 1,39883548
PGK; 11-02-2000; 3,834428191
PGK; 14-02-2000; 2,313843906
PGK; 15-02-2000; 6,579515219
PGK; 16-02-2000; 6,483245909
PGK; 17-02-2000; 3,232319951
PGK; 18-02-2000; 3,916799486
PGK; 21-02-2000; 4,130755901
PGK; 22-02-2000; 1,499201596
PGK; 23-02-2000; 7,925419688
PGK; 24-02-2000; 1,364599884
PGK; 25-02-2000; 6,95605588
PGK; 28-02-2000; 2,267198145
PGK; 29-02-2000; 7,639740586
PGK; 01-03-2000; 4,916705549
PGK; 02-03-2000; 3,964533806
PGK; 03-03-2000; 3,997379601
PGK; 06-03-2000; 4,932350516
PGK; 07-03-2000; 7,339412868
PGK; 08-03-2000; 1,54480052
PGK; 09-03-2000; 5,461413443
PGK; 10-03-2000; 5,675747037
PGK; 13-03-2000; 5,452729166
PGK; 14-03-2000; 7,924334049
PGK; 15-03-2000; 6,91436559
PGK; 16-03-2000; 4,292232394
PGK; 17-03-2000; 2,427247703
PGK; 20-03-2000; 5,278854609
PGK; 21-03-2000; 2,766575396
PGK; 22-03-2000; 5,738288522
PGK; 23-03-2000; 4,83102268
PGK; 24-03-2000; 7,5916996
PGK; 27-03-2000; 4,005530655
PGK; 28-03-2000; 7,238952041
PGK; 29-03-2000; 7,426444232
PGK; 30-03-2000; 1,263198614
PGK; 31-03-2000; 6,367742598
PGK; 03-04-2000; 2,77218926
PGK; 04-04-2000; 7,717113435
PGK; 05-04-2000; 6,470048428
PGK; 06-04-2000; 2,260620892
PGK; 07-04-2000; 3,303271174
PGK; 10-04-2000; 1,2447173
PGK; 11-04-2000; 7,274688005
PGK; 12-04-2000; 1,434348643
PGK; 13-04-2000; 2,769148469
PGK; 14-04-2000; 6,635903776
PGK; 17-04-2000; 2,4846735
PGK; 18-04-2000; 4,403757393
PGK; 19-04-2000; 1,812826514
PGK; 20-04-2000; 1,399156749
PGK; 21-04-2000; 2,262053251
PGK; 24-04-2000; 5,620202124
PGK; 25-04-2000; 5,267740369
PGK; 26-04-2000; 6,471671045
PGK; 27-04-2000; 5,482742786
PGK; 28-04-2000; 5,393436253
PGK; 01-05-2000; 7,392129779
PGK; 02-05-2000; 4,516227424
PGK; 03-05-2000; 6,84589982
PGK; 04-05-2000; 2,563486636
PGK; 05-05-2000; 6,853414178
PGK; 08-05-2000; 6,968067586
PGK; 09-05-2000; 5,733299255
PGK; 10-05-2000; 2,922528565
PGK; 11-05-2000; 2,462567687
PGK; 12-05-2000; 3,831769168
PGK; 15-05-2000; 2,818708181
PGK; 16-05-2000; 1,386760771
PGK; 17-05-2000; 4,658494115
PGK; 18-05-2000; 6,228120744
PGK; 19-05-2000; 5,427260876
PGK; 22-05-2000; 7,918280423
PGK; 23-05-2000; 6,742401958
PGK; 24-05-2000; 6,690996826
PGK; 25-05-2000; 6,644833803
PGK; 26-05-2000; 5,196958125
PGK; 29-05-2000; 6,862179399
PGK; 30-05-2000; 4,214232862
PGK; 31-05-2000; 1,177420616
PGK; 01-06-2000; 6,04231292
PGK; 02-06-2000; 3,746769309
PGK; 05-06-2000; 3,04850024
PGK; 06-06-2000; 2,960507154
PGK; 07-06-2000; 7,58538729
PGK; 08-06-2000; 1,190544248
PGK; 09-06-2000; 6,248181283
PGK; 12-06-2000; 1,518446445
PGK; 13-06-2000; 3,190622151
PGK; 14-06-2000; 7,28768146
PGK; 15-06-2000; 3,968244255
PGK; 16-06-2000; 4,073833704
PGK; 19-06-2000; 3,12773186
PGK; 20-06-2000; 7,416537881
PGK; 21-06-2000; 5,511118352
PGK; 22-06-2000; 2,406881332
PGK; 23-06-2000; 7,993579209
PGK; 26-06-2000; 1,97402513
PGK; 27-06-2000; 3,123568714
PGK; 28-06-2000; 4,464793921
PGK; 29-06-2000; 4,884050429
PGK; 30-06-2000; 3,859984517
PGK; 03-07-2000; 7,543571413
PGK; 04-07-2000; 4,721143246
PGK; 05-07-2000; 7,315930188
PGK; 06-07-2000; 2,711562037
PGK; 07-07-2000; 1,297188461
PGK; 10-07-2000; 5,285243273
PGK; 11-07-2000; 5,898776591
PGK; 12-07-2000; 7,887583375
PGK; 13-07-2000; 5,745442808
PGK; 14-07-2000; 3,761525154
PGK; 17-07-2000; 4,756796181
PGK; 18-07-2000; 2,202928901
PGK; 19-07-2000; 2,88119334
PGK; 20-07-2000; 3,85891223
PGK; 21-07-2000; 3,700718939
PGK; 24-07-2000; 2,412908673
PGK; 25-07-2000; 5,876009881
PGK; 26-07-2000; 6,750195026
PGK; 27-07-2000; 3,149673283
PGK; 28-07-2000; 2,447637439
PGK; 31-07-2000; 5,377048194
PGK; 01-08-2000; 4,18140626
PGK; 02-08-2000; 3,803061068
PGK; 03-08-2000; 2,396409631
PGK; 04-08-2000; 1,553924978
PGK; 07-08-2000; 1,331195831
PGK; 08-08-2000; 1,062432587
PGK; 09-08-2000; 4,24207437
PGK; 10-08-2000; 2,895592868
PGK; 11-08-2000; 6,420205832
PGK; 14-08-2000; 2,203361571
PGK; 15-08-2000; 2,345410466
PGK; 16-08-2000; 5,75721544
PGK; 17-08-2000; 1,070445538
PGK; 18-08-2000; 3,297320187
PGK; 21-08-2000; 3,679501414
PGK; 22-08-2000; 3,657042205
PGK; 23-08-2000; 3,414666414
PGK; 24-08-2000; 2,883554041
PGK; 25-08-2000; 7,814110398
PGK; 28-08-2000; 5,323283613
PGK; 29-08-2000; 6,955737114
PGK; 30-08-2000; 3,390957177
PGK; 31-08-2000; 2,650055289
PGK; 01-09-2000; 5,490986049
PGK; 04-09-2000; 5,176018476
PGK; 05-09-2000; 7,309947073
PGK; 06-09-2000; 3,903583646
PGK; 07-09-2000; 6,448906839
PGK; 08-09-2000; 3,896738529
PGK; 11-09-2000; 1,11433965
PGK; 12-09-2000; 5,340747714
PGK; 13-09-2000; 6,336389244
PGK; 14-09-2000; 7,387367487
PGK; 15-09-2000; 3,933224261
PGK; 18-09-2000; 7,761779428
PGK; 19-09-2000; 3,190237463
PGK; 20-09-2000; 6,224992752
PGK; 21-09-2000; 5,9728387
PGK; 22-09-2000; 7,735465407
PGK; 25-09-2000; 7,741591632
PGK; 26-09-2000; 1,903693914
PGK; 27-09-2000; 6,688444197
PGK; 28-09-2000; 2,083521962
PGK; 29-09-2000; 1,962802827
PGK; 02-10-2000; 5,193917751
PGK; 03-10-2000; 5,706200421
PGK; 04-10-2000; 1,114970088
PGK; 05-10-2000; 4,364308059
PGK; 06-10-2000; 1,251853228
PGK; 09-10-2000; 2,495040476
PGK; 10-10-2000; 1,610510468
PGK; 11-10-2000; 4,041505277
PGK; 12-10-2000; 7,478806496
PGK; 13-10-2000; 4,788545907
PGK; 16-10-2000; 3,556898475
PGK; 17-10-2000; 1,471628368
PGK; 18-10-2000; 7,130575895
PGK; 19-10-2000; 3,756821692
PGK; 20-10-2000; 7,631319165
PGK; 23-10-2000; 2,060622156
PGK; 24-10-2000; 3,676826954
PGK; 25-10-2000; 6,928371251
PGK; 26-10-2000; 7,435762286
PGK; 27-10-2000; 4,440017402
PGK; 30-10-2000; 6,910467386
PGK; 31-10-2000; 2,861971438
PGK; 01-11-2000; 4,481397271
PGK; 02-11-2000; 4,513805807
PGK; 03-11-2000; 6,807022095
PGK; 06-11-2000; 4,568547547
PGK; 07-11-2000; 3,922948241
PGK; 08-11-2000; 1,255315006
PGK; 09-11-2000; 5,134008169
PGK; 10-11-2000; 3,683048308
PGK; 13-11-2000; 5,043069005
PGK; 14-11-2000; 4,254083574
PGK; 15-11-2000; 6,810309887
PGK; 16-11-2000; 3,386320889
PGK; 17-11-2000; 7,486718059
PGK; 20-11-2000; 1,012736022
PGK; 21-11-2000; 6,015553713
PGK; 22-11-2000; 4,076985896
PGK; 23-11-2000; 5,245533586
PGK; 24-11-2000; 2,993857801
PGK; 27-11-2000; 2,049483299
PGK; 28-11-2000; 4,793312371
PGK; 29-11-2000; 3,392208457
PGK; 30-11-2000; 2,416870296
PGK; 01-12-2000; 2,941334486
PGK; 04-12-2000; 6,385092795
PGK; 05-12-2000; 1,564865232
PGK; 06-12-2000; 7,804905832
PGK; 07-12-2000; 2,8092103
PGK; 08-12-2000; 2,435518086
PGK; 11-12-2000; 7,201431155
PGK; 12-12-2000; 4,28168267
PGK; 13-12-2000; 2,969455957
PGK; 14-12-2000; 6,933052599
PGK; 15-12-2000; 1,524013162
PGK; 18-12-2000; 6,61838001
PGK; 19-12-2000; 6,796033859
PGK; 20-12-2000; 6,693309128
PGK; 21-12-2000; 5,273272872
PGK; 22-12-2000; 2,030512989
PGK; 25-12-2000; 2,329898596
PGK; 26-12-2000; 6,530923903
PGK; 27-12-2000; 6,192801595
PGK; 28-12-2000; 6,72480768
PGK; 29-12-2000; 2,638371944
PGK; 01-01-2001; 6,181431592
PGK; 02-01-2001; 7,263495326
PGK; 03-01-2001; 5,196076095
PGK; 04-01-2001; 3,92451787
PGK; 05-01-2001; 6,973140299
PGK; 08-01-2001; 6,687929749
PGK; 09-01-2001; 3,274091184
PGK; 10-01-2001; 1,386517525
PGK; 11-01-2001; 6,249006569
PGK; 12-01-2001; 7,624735236
PGK; 15-01-2001; 5,920461833
PGK; 16-01-2001; 6,827044249
PGK; 17-01-2001; 7,538510382
PGK; 18-01-2001; 1,672971845
PGK; 19-01-2001; 3,775507867
PGK; 22-01-2001; 5,012638569
PGK; 23-01-2001; 4,479530156
PGK; 24-01-2001; 3,106504321
PGK; 25-01-2001; 3,455135047
PGK; 26-01-2001; 2,7830832
PGK; 29-01-2001; 1,490217745
PGK; 30-01-2001; 7,858377099
PGK; 31-01-2001; 3,597710073
PGK; 01-02-2001; 2,910778046
PGK; 02-02-2001; 1,190873444
PGK; 05-02-2001; 3,2551893
PGK; 06-02-2001; 7,660935581
PGK; 07-02-2001; 7,710115194
PGK; 08-02-2001; 7,575820982
PGK; 09-02-2001; 7,501469731
PGK; 12-02-2001; 3,468725145
PGK; 13-02-2001; 3,396853924
PGK; 14-02-2001; 2,935282528
PGK; 15-02-2001; 5,91405189
PGK; 16-02-2001; 7,508078277
PGK; 19-02-2001; 2,197495699
PGK; 20-02-2001; 3,527253687
PGK; 21-02-2001; 7,90644896
PGK; 22-02-2001; 5,975955427
PGK; 23-02-2001; 2,208659172
PGK; 26-02-2001; 4,999378502
PGK; 27-02-2001; 7,723228812
PGK; 28-02-2001; 2,57615298
PGK; 01-03-2001; 5,006455183
PGK; 02-03-2001; 6,560824454
PGK; 05-03-2001; 2,924389005
PGK; 06-03-2001; 5,066178262
PGK; 07-03-2001; 7,005861759
PGK; 08-03-2001; 1,90415746
PGK; 09-03-2001; 7,619731784
PGK; 12-03-2001; 6,554124534
PGK; 13-03-2001; 6,570099115
PGK; 14-03-2001; 6,877216876
PGK; 15-03-2001; 4,453239083
PGK; 16-03-2001; 3,545545995
PGK; 19-03-2001; 5,870004654
PGK; 20-03-2001; 4,904990494
PGK; 21-03-2001; 3,337447524
PGK; 22-03-2001; 1,740332782
PGK; 23-03-2001; 7,493407965
PGK; 26-03-2001; 6,161489546
PGK; 27-03-2001; 3,937823415
PGK; 28-03-2001; 2,579585969
